2026/06/18 13:52:27 memstats[live]: HeapAlloc=51MiB HeapInuse=60MiB Sys=536MiB NumGC=130
2026/06/18 13:52:30 memstats[live]: HeapAlloc=42MiB HeapInuse=52MiB Sys=536MiB NumGC=132
2026/06/18 13:52:33 memstats[live]: HeapAlloc=55MiB HeapInuse=63MiB Sys=536MiB NumGC=133
2026/06/18 13:52:36 memstats[live]: HeapAlloc=39MiB HeapInuse=48MiB Sys=536MiB NumGC=135
2026/06/18 13:52:39 memstats[pre-scavenge]: HeapAlloc=55MiB HeapInuse=63MiB Sys=536MiB NumGC=136
2026/06/18 13:52:39 memstats[post-scavenge]: HeapAlloc=29MiB HeapInuse=38MiB Sys=536MiB NumGC=137
2026/06/18 13:52:39 memstats[live]: HeapAlloc=29MiB HeapInuse=38MiB Sys=536MiB NumGC=137
2026/06/18 13:52:42 memstats[live]: HeapAlloc=59MiB HeapInuse=67MiB Sys=536MiB NumGC=138
2026/06/18 13:52:45 memstats[live]: HeapAlloc=38MiB HeapInuse=48MiB Sys=536MiB NumGC=140
2026/06/18 13:52:48 memstats[live]: HeapAlloc=51MiB HeapInuse=59MiB Sys=536MiB NumGC=141
2026/06/18 13:52:51 memstats[live]: HeapAlloc=35MiB HeapInuse=44MiB Sys=536MiB NumGC=143
2026/06/18 13:52:54 memstats[live]: HeapAlloc=51MiB HeapInuse=60MiB Sys=536MiB NumGC=144
2026/06/18 13:52:57 memstats[live]: HeapAlloc=53MiB HeapInuse=58MiB Sys=536MiB NumGC=146
2026/06/18 13:53:00 memstats[live]: HeapAlloc=63MiB HeapInuse=68MiB Sys=536MiB NumGC=146
2026/06/18 13:53:03 memstats[live]: HeapAlloc=49MiB HeapInuse=56MiB Sys=536MiB NumGC=147
2026/06/18 13:53:06 memstats[live]: HeapAlloc=58MiB HeapInuse=64MiB Sys=536MiB NumGC=147
2026/06/18 13:53:09 memstats[live]: HeapAlloc=67MiB HeapInuse=73MiB Sys=536MiB NumGC=147
2026/06/18 13:53:09 memstats[pre-scavenge]: HeapAlloc=67MiB HeapInuse=73MiB Sys=536MiB NumGC=147
2026/06/18 13:53:09 memstats[post-scavenge]: HeapAlloc=42MiB HeapInuse=51MiB Sys=536MiB NumGC=148
2026/06/18 13:53:12 memstats[live]: HeapAlloc=53MiB HeapInuse=59MiB Sys=536MiB NumGC=148
2026/06/18 13:53:15 memstats[live]: HeapAlloc=62MiB HeapInuse=68MiB Sys=536MiB NumGC=148
2026/06/18 13:53:18 memstats[live]: HeapAlloc=71MiB HeapInuse=77MiB Sys=536MiB NumGC=148
