2026/06/22 11:29:41 memstats[live]: HeapAlloc=66MiB HeapInuse=73MiB Sys=441MiB NumGC=33
2026/06/22 11:29:44 memstats[live]: HeapAlloc=74MiB HeapInuse=80MiB Sys=441MiB NumGC=33
2026/06/22 11:29:47 memstats[live]: HeapAlloc=82MiB HeapInuse=89MiB Sys=441MiB NumGC=33
2026/06/22 11:29:50 memstats[live]: HeapAlloc=90MiB HeapInuse=96MiB Sys=441MiB NumGC=33
2026/06/22 11:29:53 memstats[live]: HeapAlloc=53MiB HeapInuse=61MiB Sys=441MiB NumGC=34
2026/06/22 11:29:53 memstats[pre-scavenge]: HeapAlloc=53MiB HeapInuse=61MiB Sys=441MiB NumGC=34
2026/06/22 11:29:53 memstats[post-scavenge]: HeapAlloc=47MiB HeapInuse=56MiB Sys=441MiB NumGC=35
2026/06/22 11:29:56 memstats[live]: HeapAlloc=55MiB HeapInuse=63MiB Sys=441MiB NumGC=35
2026/06/22 11:29:59 memstats[live]: HeapAlloc=64MiB HeapInuse=71MiB Sys=441MiB NumGC=35
2026/06/22 11:30:02 memstats[live]: HeapAlloc=61MiB HeapInuse=70MiB Sys=441MiB NumGC=36
2026/06/22 11:30:05 memstats[live]: HeapAlloc=81MiB HeapInuse=86MiB Sys=441MiB NumGC=36
2026/06/22 11:30:08 memstats[live]: HeapAlloc=94MiB HeapInuse=99MiB Sys=441MiB NumGC=36
2026/06/22 11:30:11 memstats[live]: HeapAlloc=104MiB HeapInuse=109MiB Sys=441MiB NumGC=36
2026/06/22 11:30:14 memstats[live]: HeapAlloc=66MiB HeapInuse=75MiB Sys=441MiB NumGC=37
2026/06/22 11:30:17 memstats[live]: HeapAlloc=76MiB HeapInuse=84MiB Sys=441MiB NumGC=37
2026/06/22 11:30:20 memstats[live]: HeapAlloc=85MiB HeapInuse=92MiB Sys=441MiB NumGC=37
2026/06/22 11:30:23 memstats[live]: HeapAlloc=94MiB HeapInuse=100MiB Sys=441MiB NumGC=37
2026/06/22 11:30:23 memstats[pre-scavenge]: HeapAlloc=94MiB HeapInuse=100MiB Sys=441MiB NumGC=37
2026/06/22 11:30:23 memstats[post-scavenge]: HeapAlloc=60MiB HeapInuse=71MiB Sys=441MiB NumGC=38
2026/06/22 11:30:26 memstats[live]: HeapAlloc=70MiB HeapInuse=79MiB Sys=441MiB NumGC=38
2026/06/22 11:30:29 memstats[live]: HeapAlloc=80MiB HeapInuse=87MiB Sys=441MiB NumGC=38
2026/06/22 11:30:32 memstats[live]: HeapAlloc=90MiB HeapInuse=97MiB Sys=441MiB NumGC=38
2026/06/22 11:30:35 memstats[live]: HeapAlloc=100MiB HeapInuse=106MiB Sys=441MiB NumGC=38
2026/06/22 11:30:38 memstats[live]: HeapAlloc=112MiB HeapInuse=117MiB Sys=441MiB NumGC=38
2026/06/22 11:30:41 memstats[live]: HeapAlloc=67MiB HeapInuse=76MiB Sys=441MiB NumGC=39
2026/06/22 11:30:44 memstats[live]: HeapAlloc=79MiB HeapInuse=87MiB Sys=441MiB NumGC=39
2026/06/22 11:30:47 memstats[live]: HeapAlloc=106MiB HeapInuse=111MiB Sys=441MiB NumGC=39
2026/06/22 11:30:50 memstats[live]: HeapAlloc=116MiB HeapInuse=120MiB Sys=441MiB NumGC=39
2026/06/22 11:30:53 memstats[live]: HeapAlloc=70MiB HeapInuse=79MiB Sys=441MiB NumGC=40
2026/06/22 11:30:53 memstats[pre-scavenge]: HeapAlloc=70MiB HeapInuse=79MiB Sys=441MiB NumGC=40
2026/06/22 11:30:53 memstats[post-scavenge]: HeapAlloc=60MiB HeapInuse=72MiB Sys=441MiB NumGC=41
2026/06/22 11:30:56 memstats[live]: HeapAlloc=71MiB HeapInuse=80MiB Sys=441MiB NumGC=41
2026/06/22 11:30:59 memstats[live]: HeapAlloc=83MiB HeapInuse=90MiB Sys=441MiB NumGC=41
2026/06/22 11:31:02 memstats[live]: HeapAlloc=92MiB HeapInuse=99MiB Sys=441MiB NumGC=41
2026/06/22 11:31:05 memstats[live]: HeapAlloc=107MiB HeapInuse=112MiB Sys=441MiB NumGC=41
2026/06/22 11:31:08 memstats[live]: HeapAlloc=77MiB HeapInuse=84MiB Sys=441MiB NumGC=42
2026/06/22 11:31:11 memstats[live]: HeapAlloc=87MiB HeapInuse=93MiB Sys=441MiB NumGC=42
2026/06/22 11:31:14 memstats[live]: HeapAlloc=97MiB HeapInuse=102MiB Sys=441MiB NumGC=42
2026/06/22 11:31:17 memstats[live]: HeapAlloc=107MiB HeapInuse=112MiB Sys=441MiB NumGC=42
2026/06/22 11:31:20 memstats[live]: HeapAlloc=60MiB HeapInuse=73MiB Sys=441MiB NumGC=43
2026/06/22 11:31:23 memstats[live]: HeapAlloc=71MiB HeapInuse=80MiB Sys=441MiB NumGC=43
2026/06/22 11:31:23 memstats[pre-scavenge]: HeapAlloc=71MiB HeapInuse=80MiB Sys=441MiB NumGC=43
2026/06/22 11:31:23 memstats[post-scavenge]: HeapAlloc=60MiB HeapInuse=72MiB Sys=441MiB NumGC=44
2026/06/22 11:31:26 memstats[live]: HeapAlloc=69MiB HeapInuse=78MiB Sys=441MiB NumGC=44
2026/06/22 11:31:29 memstats[live]: HeapAlloc=78MiB HeapInuse=86MiB Sys=441MiB NumGC=44
2026/06/22 11:31:32 memstats[live]: HeapAlloc=86MiB HeapInuse=94MiB Sys=441MiB NumGC=44
2026/06/22 11:31:35 memstats[live]: HeapAlloc=96MiB HeapInuse=102MiB Sys=441MiB NumGC=44
2026/06/22 11:31:38 memstats[live]: HeapAlloc=105MiB HeapInuse=111MiB Sys=441MiB NumGC=44
2026/06/22 11:31:41 memstats[live]: HeapAlloc=114MiB HeapInuse=120MiB Sys=441MiB NumGC=44
2026/06/22 11:31:44 memstats[live]: HeapAlloc=68MiB HeapInuse=77MiB Sys=441MiB NumGC=45
2026/06/22 11:31:47 memstats[live]: HeapAlloc=77MiB HeapInuse=86MiB Sys=441MiB NumGC=45
2026/06/22 11:31:50 memstats[live]: HeapAlloc=87MiB HeapInuse=94MiB Sys=441MiB NumGC=45
2026/06/22 11:31:53 memstats[live]: HeapAlloc=99MiB HeapInuse=105MiB Sys=441MiB NumGC=45
2026/06/22 11:31:53 memstats[pre-scavenge]: HeapAlloc=99MiB HeapInuse=105MiB Sys=441MiB NumGC=45
2026/06/22 11:31:53 memstats[post-scavenge]: HeapAlloc=61MiB HeapInuse=72MiB Sys=441MiB NumGC=46
